,short_name,value_eur,wage_eur,preferred_foot,team_position,weak_foot,skill_moves,age,work_rate,team_jersey_number,pace,shooting,passing,dribbling,defending,physic,gk_diving,gk_handling,gk_kicking,gk_reflexes,gk_speed,gk_positioning,attacking_crossing,attacking_finishing,attacking_heading_accuracy,attacking_short_passing,attacking_volleys,skill_dribbling,skill_curve,skill_fk_accuracy,skill_long_passing,skill_ball_control,movement_acceleration,movement_sprint_speed,movement_agility,movement_reactions,movement_balance,power_shot_power,power_jumping,power_stamina,power_strength,power_long_shots,mentality_aggression,mentality_interceptions,mentality_positioning,mentality_vision,mentality_penalties,mentality_composure,defending_standing_tackle,defending_sliding_tackle,goalkeeping_diving,goalkeeping_handling,goalkeeping_kicking,goalkeeping_positioning,goalkeeping_reflexes,player_positions,overall,potential
0,L. Messi,67500000,560000,0,0,4,4,33,7,10.0,85.0,92.0,91.0,95.0,38.0,65.0,10.0,10.0,10.0,10.0,10.0,10.0,85,95,70,91,88,96,93,94,91,96,91,80,91,94,95,86,68,72,69,94,44,40,93,95,75,96,35,24,6,11,15,14,8,"RW, ST, CF",93,93
1,Cristiano Ronaldo,46000000,220000,1,13,4,5,35,1,7.0,89.0,93.0,81.0,89.0,35.0,77.0,10.0,10.0,10.0,10.0,10.0,10.0,84,95,90,82,86,88,81,76,77,92,87,91,87,95,71,94,95,84,78,93,63,29,95,82,84,95,32,24,7,11,15,14,11,"ST, LW",92,92
2,J. Oblak,75000000,125000,1,5,3,1,27,8,13.0,30.0,30.0,30.0,30.0,30.0,30.0,87.0,92.0,78.0,90.0,52.0,90.0,13,11,15,43,13,12,13,14,40,30,43,60,67,88,49,59,78,41,78,12,34,19,11,65,11,68,12,18,87,92,78,90,90,GK,91,93
3,R. Lewandowski,80000000,240000,1,27,4,4,31,2,9.0,78.0,91.0,78.0,85.0,43.0,82.0,10.0,10.0,10.0,10.0,10.0,10.0,71,94,85,84,89,85,79,85,70,88,77,78,77,93,82,89,84,76,86,85,81,49,94,79,88,88,42,19,15,6,12,8,10,ST,91,91
4,Neymar Jr,90000000,270000,1,14,5,5,28,2,10.0,91.0,85.0,86.0,94.0,36.0,59.0,10.0,10.0,10.0,10.0,10.0,10.0,85,87,62,87,87,95,88,89,81,95,94,89,96,91,83,80,62,81,50,84,51,36,87,90,92,93,30,29,9,9,15,15,11,"LW, CAM",91,91
5,K. De Bruyne,87000000,370000,1,19,5,4,29,0,17.0,76.0,86.0,93.0,88.0,64.0,78.0,10.0,10.0,10.0,10.0,10.0,10.0,94,82,55,94,82,88,85,83,93,92,77,76,78,91,76,91,63,89,74,91,76,66,88,94,84,91,65,53,15,13,5,10,13,"CAM, CM",91,91
6,K. Mbappé,105500000,160000,1,13,4,5,21,1,7.0,96.0,86.0,78.0,91.0,39.0,76.0,10.0,10.0,10.0,10.0,10.0,10.0,78,91,73,83,83,92,79,63,70,90,96,96,92,92,82,86,77,86,76,79,62,38,91,80,70,84,34,32,13,5,7,11,6,"ST, LW, RW",90,95
7,M. ter Stegen,69500000,260000,1,5,4,1,28,8,1.0,30.0,30.0,30.0,30.0,30.0,30.0,88.0,85.0,88.0,90.0,45.0,88.0,18,14,11,61,14,21,18,12,63,30,38,50,37,86,43,66,79,35,78,10,43,22,11,70,25,70,13,10,88,85,88,88,90,GK,90,93
8,V. van Dijk,75500000,210000,1,8,3,2,28,8,4.0,76.0,60.0,71.0,71.0,91.0,86.0,10.0,10.0,10.0,10.0,10.0,10.0,53,52,87,79,45,70,60,70,86,77,72,79,61,89,53,81,90,75,92,64,83,90,47,65,62,90,93,86,13,10,13,11,11,CB,90,91
9,Alisson,62500000,160000,1,5,3,1,27,8,1.0,30.0,30.0,30.0,30.0,30.0,30.0,86.0,88.0,85.0,89.0,51.0,91.0,17,13,19,45,20,27,19,18,44,30,56,47,40,88,37,64,52,32,78,14,27,11,13,66,23,65,19,16,86,88,85,91,89,GK,90,91
10,S. Mané,78000000,250000,1,14,4,4,28,2,10.0,94.0,85.0,80.0,90.0,44.0,76.0,10.0,10.0,10.0,10.0,10.0,10.0,76,90,84,85,75,91,76,64,71,89,95,93,93,93,86,84,86,88,70,78,75,35,92,85,71,84,42,38,10,10,15,7,14,LW,90,90
11,M. Salah,78000000,250000,0,25,3,4,28,2,11.0,93.0,86.0,81.0,90.0,45.0,75.0,10.0,10.0,10.0,10.0,10.0,10.0,79,91,59,84,79,90,83,69,75,89,94,92,91,92,91,80,69,85,75,84,63,55,91,84,83,90,43,41,14,14,9,11,14,RW,90,90
12,T. Courtois,56000000,250000,0,5,3,1,28,8,1.0,30.0,30.0,30.0,30.0,30.0,30.0,84.0,89.0,74.0,88.0,48.0,85.0,14,14,13,33,12,13,19,20,35,23,42,52,61,84,45,56,68,38,70,17,23,15,13,44,27,66,18,16,84,89,74,85,88,GK,89,90
13,S. Agüero,53000000,300000,1,28,4,4,32,2,10.0,78.0,90.0,77.0,88.0,33.0,73.0,10.0,10.0,10.0,10.0,10.0,10.0,70,94,78,83,86,88,83,73,64,89,79,78,84,92,91,89,78,78,74,84,65,24,94,83,75,91,29,24,13,15,6,11,14,ST,89,89
14,Sergio Ramos,24500000,300000,1,8,3,3,34,2,4.0,71.0,70.0,76.0,73.0,88.0,85.0,10.0,10.0,10.0,10.0,10.0,10.0,66,65,92,82,69,65,74,76,83,83,72,70,78,92,66,79,93,81,85,64,90,88,73,71,92,88,88,90,11,8,9,7,11,CB,89,89
15,K. Benzema,53000000,350000,1,3,4,4,32,7,9.0,74.0,85.0,81.0,86.0,40.0,76.0,10.0,10.0,10.0,10.0,10.0,10.0,75,88,91,86,86,87,81,73,73,90,77,72,79,91,69,84,79,78,80,79,63,39,90,87,84,90,24,18,13,11,5,5,7,"CF, ST",89,89
16,M. Neuer,29000000,125000,1,5,4,1,34,8,1.0,30.0,30.0,30.0,30.0,30.0,30.0,87.0,87.0,91.0,89.0,57.0,86.0,15,13,25,55,11,30,14,11,59,46,54,60,51,86,35,68,77,43,80,16,29,30,12,70,47,70,10,11,87,87,91,86,89,GK,89,89
17,Casemiro,59500000,310000,1,2,3,2,28,0,14.0,65.0,73.0,76.0,72.0,86.0,91.0,10.0,10.0,10.0,10.0,10.0,10.0,58,64,80,84,63,69,63,74,84,79,60,69,61,87,66,88,87,90,91,81,91,87,72,80,66,84,88,87,13,14,16,12,12,CDM,89,89
18,Ederson,53500000,195000,0,5,3,1,26,8,31.0,30.0,30.0,30.0,30.0,30.0,30.0,86.0,82.0,93.0,88.0,63.0,86.0,20,14,14,57,18,23,15,20,59,40,64,63,60,87,48,70,66,41,78,18,38,27,20,70,17,70,15,8,86,82,93,86,88,GK,88,91
19,R. Sterling,72500000,270000,1,14,3,4,25,2,7.0,93.0,81.0,79.0,90.0,45.0,67.0,10.0,10.0,10.0,10.0,10.0,10.0,78,85,46,84,67,90,77,63,69,88,96,90,94,90,94,78,57,79,65,79,59,30,92,82,69,80,53,47,15,12,12,15,9,"LW, RW",88,90
20,J. Kimmich,65000000,145000,1,20,4,3,25,2,6.0,71.0,72.0,86.0,84.0,81.0,79.0,10.0,10.0,10.0,10.0,10.0,10.0,91,66,72,87,67,83,85,61,86,85,77,66,84,88,84,78,79,95,67,84,89,82,80,84,44,85,84,79,8,15,7,15,15,"CDM, RB",88,90
21,H. Kane,71000000,220000,1,27,4,3,26,0,10.0,68.0,91.0,80.0,80.0,47.0,83.0,10.0,10.0,10.0,10.0,10.0,10.0,75,94,85,81,85,80,80,68,83,84,66,69,69,90,73,91,79,84,84,86,81,35,93,83,90,91,36,38,8,10,11,14,11,ST,88,89
22,P. Dybala,71000000,190000,0,24,3,4,26,8,10.0,85.0,85.0,84.0,92.0,43.0,63.0,10.0,10.0,10.0,10.0,10.0,10.0,82,84,64,87,88,91,88,88,75,94,89,82,92,84,90,82,75,78,60,87,48,42,85,87,86,84,48,40,5,4,4,5,8,"CF, CAM",88,89
23,S. Handanovič,16000000,100000,1,5,3,1,35,8,1.0,30.0,30.0,30.0,30.0,30.0,30.0,88.0,85.0,73.0,89.0,53.0,89.0,12,10,10,42,12,18,12,14,40,16,51,55,47,83,36,55,78,41,71,19,25,22,12,41,23,69,10,13,88,85,73,89,89,GK,88,88
24,T. Kroos,55000000,310000,1,9,5,3,30,8,8.0,54.0,81.0,91.0,81.0,71.0,69.0,10.0,10.0,10.0,10.0,10.0,10.0,88,76,58,93,82,80,86,84,93,89,57,52,63,89,71,89,32,75,73,86,60,79,76,90,73,88,73,60,10,11,13,7,10,CM,88,88
