,short_name,value_eur,wage_eur,preferred_foot,team_position,weak_foot,skill_moves,age,work_rate,team_jersey_number,pace,shooting,passing,dribbling,defending,physic,gk_diving,gk_handling,gk_kicking,gk_reflexes,gk_speed,gk_positioning,attacking_crossing,attacking_finishing,attacking_heading_accuracy,attacking_short_passing,attacking_volleys,skill_dribbling,skill_curve,skill_fk_accuracy,skill_long_passing,skill_ball_control,movement_acceleration,movement_sprint_speed,movement_agility,movement_reactions,movement_balance,power_shot_power,power_jumping,power_stamina,power_strength,power_long_shots,mentality_aggression,mentality_interceptions,mentality_positioning,mentality_vision,mentality_penalties,mentality_composure,defending_standing_tackle,defending_sliding_tackle,goalkeeping_diving,goalkeeping_handling,goalkeeping_kicking,goalkeeping_positioning,goalkeeping_reflexes,player_positions,overall,potential
0,L. Messi,67500000,560000,Left,CAM,4,4,33,Medium/Low,10.0,85.0,92.0,91.0,95.0,38.0,65.0,10.0,10.0,10.0,10.0,10.0,10.0,85,95,70,91,88,96,93,94,91,96,91,80,91,94.0,95.0,86.0,68.0,72.0,69.0,94.0,44.0,40.0,93.0,95.0,75.0,96.0,35.0,24.0,6.0,11.0,15.0,14.0,8.0,"RW, ST, CF",93,93
1,Cristiano Ronaldo,46000000,220000,Right,LS,4,5,35,High/Low,7.0,89.0,93.0,81.0,89.0,35.0,77.0,10.0,10.0,10.0,10.0,10.0,10.0,84,95,90,82,86,88,81,76,77,92,87,91,87,95.0,71.0,94.0,95.0,84.0,78.0,93.0,63.0,29.0,95.0,82.0,84.0,95.0,32.0,24.0,7.0,11.0,15.0,14.0,11.0,"ST, LW",92,92
2,J. Oblak,75000000,125000,Right,GK,3,1,27,Medium/Medium,13.0,30.0,30.0,30.0,30.0,30.0,30.0,87.0,92.0,78.0,90.0,52.0,90.0,13,11,15,43,13,12,13,14,40,30,43,60,67,88.0,49.0,59.0,78.0,41.0,78.0,12.0,34.0,19.0,11.0,65.0,11.0,68.0,12.0,18.0,87.0,92.0,78.0,90.0,90.0,GK,91,93
3,R. Lewandowski,80000000,240000,Right,ST,4,4,31,High/Medium,9.0,78.0,91.0,78.0,85.0,43.0,82.0,10.0,10.0,10.0,10.0,10.0,10.0,71,94,85,84,89,85,79,85,70,88,77,78,77,93.0,82.0,89.0,84.0,76.0,86.0,85.0,81.0,49.0,94.0,79.0,88.0,88.0,42.0,19.0,15.0,6.0,12.0,8.0,10.0,ST,91,91
4,Neymar Jr,90000000,270000,Right,LW,5,5,28,High/Medium,10.0,91.0,85.0,86.0,94.0,36.0,59.0,10.0,10.0,10.0,10.0,10.0,10.0,85,87,62,87,87,95,88,89,81,95,94,89,96,91.0,83.0,80.0,62.0,81.0,50.0,84.0,51.0,36.0,87.0,90.0,92.0,93.0,30.0,29.0,9.0,9.0,15.0,15.0,11.0,"LW, CAM",91,91
5,K. De Bruyne,87000000,370000,Right,RCM,5,4,29,High/High,17.0,76.0,86.0,93.0,88.0,64.0,78.0,10.0,10.0,10.0,10.0,10.0,10.0,94,82,55,94,82,88,85,83,93,92,77,76,78,91.0,76.0,91.0,63.0,89.0,74.0,91.0,76.0,66.0,88.0,94.0,84.0,91.0,65.0,53.0,15.0,13.0,5.0,10.0,13.0,"CAM, CM",91,91
6,K. Mbappé,105500000,160000,Right,LS,4,5,21,High/Low,7.0,96.0,86.0,78.0,91.0,39.0,76.0,10.0,10.0,10.0,10.0,10.0,10.0,78,91,73,83,83,92,79,63,70,90,96,96,92,92.0,82.0,86.0,77.0,86.0,76.0,79.0,62.0,38.0,91.0,80.0,70.0,84.0,34.0,32.0,13.0,5.0,7.0,11.0,6.0,"ST, LW, RW",90,95
7,M. ter Stegen,69500000,260000,Right,GK,4,1,28,Medium/Medium,1.0,30.0,30.0,30.0,30.0,30.0,30.0,88.0,85.0,88.0,90.0,45.0,88.0,18,14,11,61,14,21,18,12,63,30,38,50,37,86.0,43.0,66.0,79.0,35.0,78.0,10.0,43.0,22.0,11.0,70.0,25.0,70.0,13.0,10.0,88.0,85.0,88.0,88.0,90.0,GK,90,93
8,V. van Dijk,75500000,210000,Right,LCB,3,2,28,Medium/Medium,4.0,76.0,60.0,71.0,71.0,91.0,86.0,10.0,10.0,10.0,10.0,10.0,10.0,53,52,87,79,45,70,60,70,86,77,72,79,61,89.0,53.0,81.0,90.0,75.0,92.0,64.0,83.0,90.0,47.0,65.0,62.0,90.0,93.0,86.0,13.0,10.0,13.0,11.0,11.0,CB,90,91
9,Alisson,62500000,160000,Right,GK,3,1,27,Medium/Medium,1.0,30.0,30.0,30.0,30.0,30.0,30.0,86.0,88.0,85.0,89.0,51.0,91.0,17,13,19,45,20,27,19,18,44,30,56,47,40,88.0,37.0,64.0,52.0,32.0,78.0,14.0,27.0,11.0,13.0,66.0,23.0,65.0,19.0,16.0,86.0,88.0,85.0,91.0,89.0,GK,90,91
10,S. Mané,78000000,250000,Right,LW,4,4,28,High/Medium,10.0,94.0,85.0,80.0,90.0,44.0,76.0,10.0,10.0,10.0,10.0,10.0,10.0,76,90,84,85,75,91,76,64,71,89,95,93,93,93.0,86.0,84.0,86.0,88.0,70.0,78.0,75.0,35.0,92.0,85.0,71.0,84.0,42.0,38.0,10.0,10.0,15.0,7.0,14.0,LW,90,90
11,M. Salah,78000000,250000,Left,RW,3,4,28,High/Medium,11.0,93.0,86.0,81.0,90.0,45.0,75.0,10.0,10.0,10.0,10.0,10.0,10.0,79,91,59,84,79,90,83,69,75,89,94,92,91,92.0,91.0,80.0,69.0,85.0,75.0,84.0,63.0,55.0,91.0,84.0,83.0,90.0,43.0,41.0,14.0,14.0,9.0,11.0,14.0,RW,90,90
12,T. Courtois,56000000,250000,Left,GK,3,1,28,Medium/Medium,1.0,30.0,30.0,30.0,30.0,30.0,30.0,84.0,89.0,74.0,88.0,48.0,85.0,14,14,13,33,12,13,19,20,35,23,42,52,61,84.0,45.0,56.0,68.0,38.0,70.0,17.0,23.0,15.0,13.0,44.0,27.0,66.0,18.0,16.0,84.0,89.0,74.0,85.0,88.0,GK,89,90
13,S. Agüero,53000000,300000,Right,SUB,4,4,32,High/Medium,10.0,78.0,90.0,77.0,88.0,33.0,73.0,10.0,10.0,10.0,10.0,10.0,10.0,70,94,78,83,86,88,83,73,64,89,79,78,84,92.0,91.0,89.0,78.0,78.0,74.0,84.0,65.0,24.0,94.0,83.0,75.0,91.0,29.0,24.0,13.0,15.0,6.0,11.0,14.0,ST,89,89
14,Sergio Ramos,24500000,300000,Right,LCB,3,3,34,High/Medium,4.0,71.0,70.0,76.0,73.0,88.0,85.0,10.0,10.0,10.0,10.0,10.0,10.0,66,65,92,82,69,65,74,76,83,83,72,70,78,92.0,66.0,79.0,93.0,81.0,85.0,64.0,90.0,88.0,73.0,71.0,92.0,88.0,88.0,90.0,11.0,8.0,9.0,7.0,11.0,CB,89,89
15,K. Benzema,53000000,350000,Right,CF,4,4,32,Medium/Low,9.0,74.0,85.0,81.0,86.0,40.0,76.0,10.0,10.0,10.0,10.0,10.0,10.0,75,88,91,86,86,87,81,73,73,90,77,72,79,91.0,69.0,84.0,79.0,78.0,80.0,79.0,63.0,39.0,90.0,87.0,84.0,90.0,24.0,18.0,13.0,11.0,5.0,5.0,7.0,"CF, ST",89,89
16,M. Neuer,29000000,125000,Right,GK,4,1,34,Medium/Medium,1.0,30.0,30.0,30.0,30.0,30.0,30.0,87.0,87.0,91.0,89.0,57.0,86.0,15,13,25,55,11,30,14,11,59,46,54,60,51,86.0,35.0,68.0,77.0,43.0,80.0,16.0,29.0,30.0,12.0,70.0,47.0,70.0,10.0,11.0,87.0,87.0,91.0,86.0,89.0,GK,89,89
